source	target	label	intervention	effect_mean	effect_std	n_cells
KLF2	CXCR4	1	ablation	-0.03148873647054037	0.027291973810438838	12
STAT4	S100A4	1	ablation	0.07264868418375652	0.052303971119831504	6
