granularity	tissue_a	tissue_b	shared_pairs	mean_jaccard_top5
heads	kidney	lung	2	0.3392857142857143
heads	kidney	immune	2	0.18055555555555555
heads	lung	immune	2	0.18055555555555555
mlp	kidney	lung	2	0.5476190476190476
mlp	kidney	immune	2	0.3392857142857143
mlp	lung	immune	2	0.7142857142857143
