granularity	top_k	component_space_size	num_pairwise_values	observed_mean_jaccard	random_expected_jaccard	enrichment_vs_random	permutation_null_mean	permutation_p_value
heads	3	24	6	0.16666666666666666	0.06666666666666667	2.5		
heads	5	24	6	0.2334656084656085	0.11627906976744186	2.007804232804233	0.12693346560846563	0.019098090190980903
heads	8	24	6	0.48282828282828283	0.19999999999999998	2.4141414141414144		
heads	10	24	6	0.6095016095016094	0.26315789473684215	2.3161061161061154		
mlp	3	12	6	0.43333333333333335	0.14285714285714285	3.0333333333333337		
mlp	5	12	6	0.5337301587301587	0.26315789473684215	2.0281746031746026	0.2801512566137566	0.00019998000199980003
mlp	8	12	6	0.7851851851851851	0.49999999999999994	1.5703703703703704		
mlp	10	12	6	0.8787878787878789	0.7142857142857144	1.2303030303030302		
