source	target	label	intervention	effect_mean	effect_std	n_cells
KLF2	CXCR4	1	ablation	-0.15701278050740558	0.14242298344469442	12
STAT4	S100A4	1	ablation	0.05093150668674045	0.17527308635976707	9
