source	target	kidney_cells	lung_cells	immune_cells	min_cells	kidney_abs	lung_abs	immune_abs	mean_abs_effect
KLF2	CXCR4	12	11	12	11	0.0314877827962239	0.0818093039772727	0.1570111910502115	0.09010275927456936
STAT4	S100A4	6	2	9	2	0.0726502736409505	0.0009241104125976	0.0509317186143663	0.04150203422263813
