source	target
FOS	FOS
KLF2	CXCR4
JUN	JUN
STAT4	PRF1
HIF1A	AMH
GATA3	GATA3
STAT4	S100A4
HIPK2	MEF2C
CIITA	HLA-DRA
GATA3	STAT4
AKR1B1	BTG1
MYBL1	NCL
CIITA	HLA-DPB1
PCBD1	FXYD2
PAX5	BLK
FOS	GSTP1
TCF4	VIM
TCF4	CD44
HIF1A	AKR1B1
HIF1A	ITGB2
AKR1B1	VIM
ETS1	LCK
ETS1	CD8A
HIF1A	VIM
GATA3	CD8A
TBX21	GATA3
JUN	ETS1
ETS1	IL2RB
HIF1A	SDHB
PAX5	CD79A
HIF1A	LDHA
REL	BCL2A1
IRF4	MS4A1
EGR1	CD28
REL	BIRC3
IRF8	CYBB
HDGF	VIM
LRRFIP1	TNF
KLF6	PTTG1
JUN	PDHA1
