source	target	component	layer	head	restoration_mean	restoration_std	n_cells
FOS	FOS	mlp	0		-0.04774354610734716	0.5607529368303883	8
FOS	FOS	mlp	1		-0.19910532700826705	0.9820644782149278	8
FOS	FOS	mlp	2		-0.09655162772216266	0.3324411808251047	8
FOS	FOS	mlp	3		-0.047777950890732515	0.3269011271353729	8
FOS	FOS	mlp	4		0.2541657403740586	0.523032617947312	8
FOS	FOS	mlp	5		0.3525280173123947	0.5994479009834119	8
FOS	FOS	mlp	6		0.338476941839252	0.5834001878769532	8
FOS	FOS	mlp	7		0.001658835235322707	0.271036735580417	8
FOS	FOS	mlp	8		0.7165428353770986	1.0139329389266922	8
FOS	FOS	mlp	9		0.031921421888555776	0.5683144872911343	8
FOS	FOS	mlp	10		0.12385160201171519	0.8368044565016063	8
FOS	FOS	mlp	11		0.1238156273835583	0.4536220838709765	8
JUN	JUN	mlp	0		0.27342101497384697	0.6539718847464736	8
JUN	JUN	mlp	1		-0.14084916150329133	0.13696742504025322	8
JUN	JUN	mlp	2		-0.07143362684969337	0.1796462911029657	8
JUN	JUN	mlp	3		0.12451675879349479	0.21051983964107973	8
JUN	JUN	mlp	4		-0.04835434603177692	0.18199012202294443	8
JUN	JUN	mlp	5		-0.12245482756580418	0.4562033220454039	8
JUN	JUN	mlp	6		0.3102739934767892	0.26128187131795066	8
JUN	JUN	mlp	7		0.15976515251765303	0.10060833957826801	8
JUN	JUN	mlp	8		0.2718100916438186	0.15432585038264318	8
JUN	JUN	mlp	9		0.25366570960696067	0.1986704233698751	8
JUN	JUN	mlp	10		0.12235745064960828	0.2231250237574071	8
JUN	JUN	mlp	11		0.3303690462824815	0.33377680005356997	8
