source	target	label	intervention	effect_mean	effect_std	n_cells
FOS	FOS	1	ablation	-0.047759771347045885	1.3173947867288502	8
FOS	FOS	1	swap	0.20918774604797363	0.80654677754455	8
JUN	JUN	1	ablation	-1.4502670764923096	0.5645367026204275	8
JUN	JUN	1	swap	-0.36797118186950684	0.8394344483582571	8
