tissue	granularity	pairs_with_scores	mean_effect	mean_abs_effect	top5_mediator_mass
kidney	heads	5	-0.21317939213344025	0.55867614201137	0.5770408988711868
kidney	mlp	5	-0.21317939213344025	0.55867614201137	0.7675730527501525
lung	heads	1	-0.2488301595052083	0.2488301595052083	0.5052373976183334
lung	mlp	1	-0.2488301595052083	0.2488301595052083	0.571981240664656
immune	heads	2	-0.7490134239196777	0.7490134239196777	0.5245373061603182
immune	mlp	2	-0.7490134239196777	0.7490134239196777	0.721481490740491
