tissue	granularity	pair	component	restoration_mean	ci95_low	ci95_high	n_cells
lung	mlp	GATA3->GATA3	L5:MLP	1.3725202384217168	-1.0155099920029023	3.760550468846336	3
lung	mlp	GATA3->GATA3	L8:MLP	1.3671549427064804	-0.21228242011627896	2.94659230552924	3
lung	mlp	GATA3->GATA3	L2:MLP	-1.345402276164369	-2.2854769578822167	-0.4053275944465212	3
lung	mlp	GATA3->GATA3	L4:MLP	1.2400243649978615	-1.4053583505333462	3.8854070805290695	3
lung	mlp	GATA3->GATA3	L11:MLP	0.927751452824389	-0.6862784919042527	2.541781397553031	3
lung	mlp	GATA3->GATA3	L10:MLP	0.7323620766580874	-0.5847947383957786	2.049518891711953	3
lung	mlp	GATA3->GATA3	L3:MLP	-0.6224404894947617	-2.096616902924753	0.8517359239352296	3
immune	heads	FOS->FOS	L6:H0	0.1376103125488584	-0.10274110778683873	0.3779617328845555	8
immune	heads	JUN->JUN	L2:H1	0.1225046146500214	-0.03138536569329668	0.27639459499333946	8
immune	heads	JUN->JUN	L4:H1	0.1164983775348784	0.010267322351547453	0.22272943271820936	8
immune	heads	FOS->FOS	L0:H1	-0.0868335033358925	-0.16593888332979218	-0.007728123341992826	8
immune	heads	JUN->JUN	L7:H0	0.0814443830334065	0.005118777149908479	0.15776998891690452	8
immune	heads	FOS->FOS	L6:H1	-0.071380674209019	-0.17828264511416675	0.03552129669612876	8
immune	heads	FOS->FOS	L5:H0	0.0703952889382119	-0.11710558867256038	0.2578961665489842	8
immune	heads	FOS->FOS	L1:H1	0.0632598150944915	-0.01268418841368922	0.13920381860267222	8
immune	heads	JUN->JUN	L4:H0	-0.0628540960023253	-0.11132883825511333	-0.01437935374953727	8
immune	heads	JUN->JUN	L6:H0	0.0584188746914022	0.020991024806068112	0.09584672457673629	8
immune	mlp	FOS->FOS	L8:MLP	0.7165428353770986	0.013923155729298475	1.4191625150248988	8
immune	mlp	FOS->FOS	L5:MLP	0.3525280173123947	-0.0628681849259497	0.7679242195507391	8
immune	mlp	FOS->FOS	L6:MLP	0.338476941839252	-0.06579876257418155	0.7427526462526854	8
immune	mlp	JUN->JUN	L11:MLP	0.3303690462824815	0.09907352433626831	0.5616645682286947	8
immune	mlp	JUN->JUN	L6:MLP	0.3102739934767892	0.1292148941269561	0.4913330928266223	8
immune	mlp	JUN->JUN	L0:MLP	0.2734210149738469	-0.17975838034754021	0.726600410295234	8
immune	mlp	JUN->JUN	L8:MLP	0.2718100916438186	0.16486773343223005	0.3787524498554071	8
immune	mlp	FOS->FOS	L4:MLP	0.2541657403740586	-0.1082773723395925	0.6166088530877096	8
immune	mlp	JUN->JUN	L9:MLP	0.2536657096069606	0.11599413009264042	0.3913372891212808	8
immune	mlp	FOS->FOS	L1:MLP	-0.199105327008267	-0.8796412900743068	0.4814306360577728	8
