source	target	component	layer	head	restoration_mean	restoration_std	n_cells
KLF2	CXCR4	head	0	0	-0.09791708337702253	0.1908735078193481	12
KLF2	CXCR4	head	0	1	0.08161511862125247	0.1678442338089358	12
KLF2	CXCR4	head	1	0	-0.009630581409396226	0.11651316276832195	12
KLF2	CXCR4	head	1	1	-0.0042942480446614365	0.16195615137319547	12
KLF2	CXCR4	head	2	0	0.04733768659694715	0.10877564157653322	12
KLF2	CXCR4	head	2	1	-0.01271809619286261	0.05235658771175587	12
KLF2	CXCR4	head	3	0	-0.016267875351082185	0.10048903423053197	12
KLF2	CXCR4	head	3	1	-0.028808899496023683	0.0776931388347684	12
KLF2	CXCR4	head	4	0	-0.060665220627816395	0.1111853078402158	12
KLF2	CXCR4	head	4	1	0.006371227666272756	0.06553293461238967	12
KLF2	CXCR4	head	5	0	0.02749776805206616	0.08615225177821632	12
KLF2	CXCR4	head	5	1	0.031746883049133146	0.08752668035189748	12
KLF2	CXCR4	head	6	0	-0.029701787015040663	0.030820785168114536	12
KLF2	CXCR4	head	6	1	0.009988267784795314	0.014252582388065033	12
KLF2	CXCR4	head	7	0	-0.028823784744774678	0.041007321895828557	12
KLF2	CXCR4	head	7	1	-0.0011853838753928315	0.02256939717378793	12
KLF2	CXCR4	head	8	0	0.0002158674675050507	0.006499719585975493	12
KLF2	CXCR4	head	8	1	0.002181062197234647	0.007012852225636175	12
KLF2	CXCR4	head	9	0	-0.002033869913158945	0.0076464987874933004	12
KLF2	CXCR4	head	9	1	-0.0023870807833722284	0.0037597127164772075	12
KLF2	CXCR4	head	10	0	-0.0004832619243613177	0.0012829074748068256	12
KLF2	CXCR4	head	10	1	0.0003822725675414632	0.001015787245522529	12
KLF2	CXCR4	head	11	0	0.0	0.0	12
KLF2	CXCR4	head	11	1	0.0	0.0	12
STAT4	S100A4	head	0	0	0.005674343553974212	0.03715754758755767	9
STAT4	S100A4	head	0	1	0.018893969641191985	0.047188240815520234	9
STAT4	S100A4	head	1	0	0.025626203026282504	0.06029262938175823	9
STAT4	S100A4	head	1	1	0.038511091134735935	0.027925331547237624	9
STAT4	S100A4	head	2	0	-0.004644120304029583	0.026895848935253933	9
STAT4	S100A4	head	2	1	0.021360885192969414	0.03427854811859263	9
STAT4	S100A4	head	3	0	0.006721087993171399	0.01886987381197588	9
STAT4	S100A4	head	3	1	-0.02545227846574383	0.047544329230317386	9
STAT4	S100A4	head	4	0	0.005795400154014132	0.024394349204880247	9
STAT4	S100A4	head	4	1	0.029284819587113556	0.02149735779511198	9
STAT4	S100A4	head	5	0	0.008106590570129874	0.013738434312247829	9
STAT4	S100A4	head	5	1	0.022016446854718517	0.014035903289454968	9
STAT4	S100A4	head	6	0	-0.0010058298461027614	0.008219075404486147	9
STAT4	S100A4	head	6	1	-0.0022078574234264303	0.006186732899140809	9
STAT4	S100A4	head	7	0	-0.002793891410857377	0.0033824026007881793	9
STAT4	S100A4	head	7	1	-0.0011771070962764878	0.007094735466932188	9
STAT4	S100A4	head	8	0	-0.0015915508051161397	0.0009789712717684549	9
STAT4	S100A4	head	8	1	0.00020486370124560386	0.0018683425165847087	9
STAT4	S100A4	head	9	0	-0.0013539257054365076	0.002067861405063166	9
STAT4	S100A4	head	9	1	-7.393492131432263e-05	0.001167491416889506	9
STAT4	S100A4	head	10	0	0.0017778077257217322	0.0013508401532561604	9
STAT4	S100A4	head	10	1	-0.0011076857931412662	0.001395535773925997	9
STAT4	S100A4	head	11	0	0.0	0.0	9
STAT4	S100A4	head	11	1	0.0	0.0	9
