source	target	label	intervention	effect_mean	effect_std	n_cells
CEBPB	SAA1	1	ablation	0.013605117797851562	0.0	1
JUN	IFNG	1	ablation	-0.53857421875	0.0	1
CEBPD	PPARG	1	ablation	0.032459259033203125	0.0	1
ETS1	CD6	1	ablation	0.0635986328125	0.0	1
NFKB1	STAT4	1	ablation	0.00992727279663086	0.0502609462165067	4
ETS1	MGAT5	1	ablation	-0.09793901443481445	0.06786733177032132	4
JUN	IL1B	1	ablation	0.000301361083984375	0.0	1
NFKB1	CD3G	1	ablation	0.05588817596435547	0.04594883142136476	2
ZBTB16	ID2	1	ablation	0.02481842041015625	0.0	1
PGR	E2F1	1	ablation	-0.1551666259765625	0.0	1
NFKB1	PTEN	1	ablation	-0.0059680938720703125	0.00933724453109383	4
JUN	CA2	1	ablation	0.0553131103515625	0.0	1
EGR1	PTEN	1	ablation	0.043003082275390625	0.10266200811467119	3
E2F1	E2F1	1	ablation	-0.2109537124633789	0.933851431378548	2
FOS	BCL2L1	1	ablation	0.05289268493652344	0.07226330058283847	2
NFKB1	TLR2	1	ablation	0.01670074462890625	0.0	1
JUN	LGALS3	1	ablation	0.03638267517089844	0.0	1
MEF2C	NR4A1	1	ablation	0.07781171798706055	0.05007164404975416	4
NFKB1	ABCA1	1	ablation	-0.0829010009765625	0.0	1
PPARG	BCL2L1	1	ablation	0.04113578796386719	0.0	1
NFKB1	CXCL8	1	ablation	0.0015354156494140625	0.0	1
NFKB1	CCL3	1	ablation	-0.013301849365234375	0.02021430289540095	2
CREB5	CFB	1	ablation	0.06267166137695312	0.0	1
RBPJ	NFKB1	1	ablation	0.011964797973632812	0.01514588973945557	5
JUN	JUN	1	ablation	-1.2780448913574218	0.6961740408833953	10
NFKB1	FN1	1	ablation	0.0053577423095703125	0.0	1
PPARG	GK	1	ablation	-0.020305633544921875	0.047517368535546195	2
NFKB1	NFKBIZ	1	ablation	-0.0095550537109375	0.013681074343309767	5
CREM	CCL4	1	ablation	-0.012861251831054688	0.0	1
NFKB1	CTSB	1	ablation	-0.005401134490966797	0.007948139151235009	4
MEF2C	JUN	1	ablation	0.11019706726074219	0.08672971867194706	6
SPI1	IL1B	1	ablation	-0.05335235595703125	0.0	1
ETS2	CSF3R	1	ablation	-0.04902776082356771	0.03469709192536814	3
SPI1	CD163	1	ablation	0.017291259765624997	0.12788275367378923	5
FOS	CREM	1	ablation	0.1761484146118164	0.0708048054845297	6
NFKB1	OLR1	1	ablation	-0.024297714233398438	0.03444307895267878	2
NFKB1	ALOX5AP	1	ablation	0.015822410583496094	0.013909134358171205	2
FOXO3	BCL6	1	ablation	0.023930867513020836	0.02666629828510455	3
NR4A2	CXCL8	1	ablation	0.042725563049316406	0.07522909001885306	2
CEBPB	TNFAIP6	1	ablation	-0.1672801971435547	0.0	1
FOS	CLU	1	ablation	0.06342506408691406	0.06049455177944451	2
