source	target	component	layer	head	restoration_mean	restoration_std	n_cells
GATA3	GATA3	head	0	0	-0.22288574809478215	0.13158776403269334	3
GATA3	GATA3	head	0	1	-0.15862522684531816	0.16064159911903342	3
GATA3	GATA3	head	1	0	0.1618004008112775	0.09866877284353948	3
GATA3	GATA3	head	1	1	0.14565112963415966	0.25634828611879756	3
GATA3	GATA3	head	2	0	-0.040270881155234736	0.01878720971400446	3
GATA3	GATA3	head	2	1	0.2829254204539977	0.2814012613766596	3
GATA3	GATA3	head	3	0	-0.0775751586745578	0.1498762873772041	3
GATA3	GATA3	head	3	1	0.20833190111210667	0.10339725752052324	3
GATA3	GATA3	head	4	0	0.10858761996148643	0.17085119902622367	3
GATA3	GATA3	head	4	1	0.19003252333814202	0.27813816566309746	3
GATA3	GATA3	head	5	0	0.3488222824288735	0.29800298184655544	3
GATA3	GATA3	head	5	1	0.05357457426723557	0.04078324549707025	3
GATA3	GATA3	head	6	0	-0.2853915209601415	0.44959028856316835	3
GATA3	GATA3	head	6	1	-0.6078889253373913	0.9612546550363008	3
GATA3	GATA3	head	7	0	0.15036953729272587	0.3771412971052517	3
GATA3	GATA3	head	7	1	0.4822695524686796	0.7628823888012465	3
GATA3	GATA3	head	8	0	0.10298983775894105	0.21238389324448856	3
GATA3	GATA3	head	8	1	0.20980963290153495	0.3789806307997278	3
GATA3	GATA3	head	9	0	0.006433808429413384	0.02178226906412437	3
GATA3	GATA3	head	9	1	0.0006317065828950561	0.019700354757258075	3
GATA3	GATA3	head	10	0	-0.02549914600903575	0.030642588062753575	3
GATA3	GATA3	head	10	1	-0.0016212350752812365	0.027988745337143205	3
GATA3	GATA3	head	11	0	-0.03475721319896996	0.052201615355182814	3
GATA3	GATA3	head	11	1	0.06623427628760001	0.09868777739900472	3
